                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.3959,                 1.7536,                0.93855,                0.96634,                    0.5,                0.82917,                 0.5628,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     51,                 1.3791,                 1.3733,                0.92682,                0.88551,                    0.5,                0.82917,                0.57471,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                 1.1725,                 1.3283,                0.93577,                0.88551,                    0.5,                0.82917,                0.57471,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                 1.4348,                 1.4179,                0.92896,                0.86935,                0.83333,                0.82917,                0.52747,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                  1.542,                 1.4001,                0.93383,                0.86935,                0.83333,                0.82917,                0.52747,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                 1.4603,                 1.3176,                 1.0536,                0.87113,                0.76066,                0.82917,                0.55966,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     56,                 1.5144,                 1.3218,                0.94469,                0.87113,                0.76066,                0.82917,                0.55966,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     57,                 1.3886,                 1.3121,                0.94778,                0.89036,                0.75424,                0.82917,                0.54741,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     58,                 1.2895,                 1.2426,                0.99071,                0.89036,                0.75424,                0.82917,                0.54741,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                     59,                 1.2987,                  1.295,                0.96866,                0.88112,                0.76333,                0.82917,                0.55829,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     60,                  1.319,                 1.2289,                0.89288,                0.88112,                0.76333,                0.82917,                0.55829,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                     61,                 1.2645,                 1.2052,                0.92182,                0.84052,                0.83333,                0.80694,                0.48119,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     62,                  1.296,                 1.1681,                0.94292,                0.84052,                0.83333,                0.80694,                0.48119,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                     63,                   1.38,                 1.1519,                0.94499,                0.85091,                0.83333,                0.82917,                0.53634,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     64,                 1.4732,                 1.2488,                0.95154,                0.85091,                0.83333,                0.82917,                0.53634,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                     65,                 1.4481,                 1.1961,                0.91132,                0.85098,                0.83333,                0.82917,                0.55045,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     66,                 1.1596,                 1.1516,                 0.8961,                0.85098,                0.83333,                0.82917,                0.55045,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     67,                 1.2612,                 1.2374,                0.90359,                0.86875,                0.83333,                0.82917,                0.54224,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
